月末交易日,收益日期,对标指数代码,对标指数,收盘价,日收益率
2024-04-30,2024-01-18,000001.SH,上证综合指数,2845.7839,0.00429440807629766
2024-04-30,2024-01-19,000001.SH,上证综合指数,2832.2793,-0.00474547628159672
2024-04-30,2024-01-22,000001.SH,上证综合指数,2756.3399,-0.0268121155989101
2024-04-30,2024-01-23,000001.SH,上证综合指数,2770.9763,0.0053100853055168
2024-04-30,2024-01-24,000001.SH,上证综合指数,2820.7719,0.0179704171414243
2024-04-30,2024-01-25,000001.SH,上证综合指数,2906.1087,0.0302529956427884
2024-04-30,2024-01-26,000001.SH,上证综合指数,2910.2227,0.00141563871991424
2024-04-30,2024-01-29,000001.SH,上证综合指数,2883.356,-0.00923183645017944
2024-04-30,2024-01-30,000001.SH,上证综合指数,2830.5266,-0.0183221912243927
2024-04-30,2024-01-31,000001.SH,上证综合指数,2788.5482,-0.0148305972464629
2024-04-30,2024-02-01,000001.SH,上证综合指数,2770.7403,-0.00638608290866205
2024-04-30,2024-02-02,000001.SH,上证综合指数,2730.152,-0.0146489008731709
2024-04-30,2024-02-05,000001.SH,上证综合指数,2702.185,-0.0102437519962258
2024-04-30,2024-02-06,000001.SH,上证综合指数,2789.486,0.0323075585128332
2024-04-30,2024-02-07,000001.SH,上证综合指数,2829.6956,0.0144146986218967
2024-04-30,2024-02-08,000001.SH,上证综合指数,2865.9032,0.0127955812632286
2024-04-30,2024-02-20,000001.SH,上证综合指数,2922.7302,0.0198286529705538
2024-04-30,2024-02-21,000001.SH,上证综合指数,2950.9556,0.00965720339154119
2024-04-30,2024-02-22,000001.SH,上证综合指数,2988.3578,0.0126746061513092
2024-04-30,2024-02-26,000001.SH,上证综合指数,2977.0221,-0.00379328740353646
2024-04-30,2024-02-27,000001.SH,上证综合指数,3015.4807,0.012918479846018
2024-04-30,2024-02-28,000001.SH,上证综合指数,2957.8524,-0.0191108170581227
2024-04-30,2024-02-29,000001.SH,上证综合指数,3015.1712,0.0193785193608713
2024-04-30,2024-03-01,000001.SH,上证综合指数,3027.0204,0.00392985977048332
2024-04-30,2024-03-04,000001.SH,上证综合指数,3039.3055,0.00405847942088533
2024-04-30,2024-03-05,000001.SH,上证综合指数,3047.7931,0.00279261166736933
2024-04-30,2024-03-06,000001.SH,上证综合指数,3039.9309,-0.0025796370495097
2024-04-30,2024-03-07,000001.SH,上证综合指数,3027.4013,-0.00412167263407204
2024-04-30,2024-03-08,000001.SH,上证综合指数,3046.0192,0.00614979586617737
2024-04-30,2024-03-11,000001.SH,上证综合指数,3068.4554,0.00736574477271823
2024-04-30,2024-03-12,000001.SH,上证综合指数,3055.935,-0.00408035912791815
2024-04-30,2024-03-13,000001.SH,上证综合指数,3043.8346,-0.00395963919389641
2024-04-30,2024-03-14,000001.SH,上证综合指数,3038.2339,-0.00184001456583749
2024-04-30,2024-03-15,000001.SH,上证综合指数,3054.6359,0.00539853103475685
2024-04-30,2024-03-18,000001.SH,上证综合指数,3084.9262,0.0099161736428226
2024-04-30,2024-03-19,000001.SH,上证综合指数,3062.7558,-0.00718668731848426
2024-04-30,2024-03-21,000001.SH,上证综合指数,3077.113,0.00468767376099644
2024-04-30,2024-03-22,000001.SH,上证综合指数,3048.0336,-0.00945022168506637
2024-04-30,2024-03-25,000001.SH,上证综合指数,3026.3055,-0.00712856314969768
2024-04-30,2024-03-26,000001.SH,上证综合指数,3031.4809,0.00171013798838215
