日期,代码,名称,上市日期,对标指数,benchmark,管理人,托管人,类别大类,类别细类,对标指数代码,规模,成交量,成交额,收盘价,VWAP,溢价率
2021-03-09,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-10,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-11,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-12,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-15,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-16,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-17,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-18,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-19,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-22,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-23,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-24,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-25,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-26,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-29,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-30,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
2021-03-31,159679.SZ,国泰中证1000增强策略ETF,20230222,中证1000指数,中证1000指数收益率,国泰基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,规模指数ETF,000852.SH,,,,,,
