月末交易日,收益日期,对标指数代码,对标指数,收盘价,日收益率
2021-09-30,2021-07-06,000015.SH,上证红利指数,2839.0087,-0.00180079647543596
2021-09-30,2021-07-07,000015.SH,上证红利指数,2833.1749,-0.00205487218126521
2021-09-30,2021-07-08,000015.SH,上证红利指数,2774.0932,-0.0208535307862568
2021-09-30,2021-07-09,000015.SH,上证红利指数,2798.8524,0.00892515074836009
2021-09-30,2021-07-12,000015.SH,上证红利指数,2807.8175,0.0032031342560257
2021-09-30,2021-07-13,000015.SH,上证红利指数,2833.4907,0.0091434717534169
2021-09-30,2021-07-14,000015.SH,上证红利指数,2833.2088,-9.94885919336497e-05
2021-09-30,2021-07-15,000015.SH,上证红利指数,2870.0872,0.0130164779948445
2021-09-30,2021-07-16,000015.SH,上证红利指数,2869.7212,-0.00012752225786028
2021-09-30,2021-07-19,000015.SH,上证红利指数,2852.2528,-0.0060871418449987
2021-09-30,2021-07-20,000015.SH,上证红利指数,2835.6193,-0.00583170608159289
2021-09-30,2021-07-21,000015.SH,上证红利指数,2827.8686,-0.00273333588891855
2021-09-30,2021-07-22,000015.SH,上证红利指数,2852.2425,0.00861917700136416
2021-09-30,2021-07-23,000015.SH,上证红利指数,2818.0242,-0.0119969813225909
2021-09-30,2021-07-26,000015.SH,上证红利指数,2758.8389,-0.0210024101283444
2021-09-30,2021-07-27,000015.SH,上证红利指数,2697.7168,-0.0221550087611132
2021-09-30,2021-07-28,000015.SH,上证红利指数,2670.4316,-0.010114182482016
2021-09-30,2021-07-29,000015.SH,上证红利指数,2686.0526,0.00584961621934066
2021-09-30,2021-07-30,000015.SH,上证红利指数,2719.2849,0.0123721702248125
2021-09-30,2021-08-02,000015.SH,上证红利指数,2691.411,-0.0102504522420582
2021-09-30,2021-08-03,000015.SH,上证红利指数,2652.1339,-0.014593497611476
2021-09-30,2021-08-04,000015.SH,上证红利指数,2685.1289,0.012440925399732
2021-09-30,2021-08-05,000015.SH,上证红利指数,2662.8066,-0.00831330667216768
2021-09-30,2021-08-06,000015.SH,上证红利指数,2677.7427,0.00560915689483421
2021-09-30,2021-08-09,000015.SH,上证红利指数,2715.0285,0.013924340079426
2021-09-30,2021-08-10,000015.SH,上证红利指数,2716.7008,0.000615941968933331
2021-09-30,2021-08-11,000015.SH,上证红利指数,2770.8098,0.0199171730652119
2021-09-30,2021-08-12,000015.SH,上证红利指数,2804.1301,0.0120254735637213
2021-09-30,2021-08-13,000015.SH,上证红利指数,2795.5837,-0.00304779011501632
2021-09-30,2021-08-16,000015.SH,上证红利指数,2801.8651,0.00224690106756587
2021-09-30,2021-08-17,000015.SH,上证红利指数,2763.2649,-0.0137766090166154
2021-09-30,2021-08-18,000015.SH,上证红利指数,2780.0439,0.00607216485107887
2021-09-30,2021-08-19,000015.SH,上证红利指数,2770.7176,-0.00335473119687069
2021-09-30,2021-08-20,000015.SH,上证红利指数,2784.5354,0.00498708349057297
2021-09-30,2021-08-23,000015.SH,上证红利指数,2801.7733,0.00619058389417471
2021-09-30,2021-08-24,000015.SH,上证红利指数,2823.9406,0.00791188209267335
2021-09-30,2021-08-25,000015.SH,上证红利指数,2856.3638,0.0114815446188918
2021-09-30,2021-08-26,000015.SH,上证红利指数,2895.8766,0.013833251912799
2021-09-30,2021-08-27,000015.SH,上证红利指数,2921.7954,0.00895024325276839
2021-09-30,2021-08-30,000015.SH,上证红利指数,2944.7292,0.00784921490395951
2021-09-30,2021-08-31,000015.SH,上证红利指数,3017.0158,0.0245477920346631
2021-09-30,2021-09-01,000015.SH,上证红利指数,3010.3874,-0.00219700539851331
2021-09-30,2021-09-02,000015.SH,上证红利指数,3076.4034,0.0219294035046784
2021-09-30,2021-09-03,000015.SH,上证红利指数,3067.4447,-0.00291206933395016
2021-09-30,2021-09-06,000015.SH,上证红利指数,3095.1901,0.00904511823799137
